Country,Status,Process,Age Group,Sex,  POC  
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 2 
Other Nationalites,ASR,A,18 - 59 years,Female, 4 
Other Nationalites,ASR,A,0 - 4 years,Female, 2 
Other Nationalites,ASR,A,0 - 4 years,Male, 3 
Other Nationalites,ASR,A,12 - 17 years,Female, 1 
Other Nationalites,ASR,A,12 - 17 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 16 
Other Nationalites,ASR,A,18 - 59 years,Male, 16 
Other Nationalites,ASR,A,5 - 11 years,Female, 6 
Other Nationalites,ASR,A,5 - 11 years,Male, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 3 
Other Nationalites,ASR,A,0 - 4 years,Male, 2 
Other Nationalites,ASR,A,12 - 17 years,Female, 4 
Other Nationalites,ASR,A,12 - 17 years,Male, 3 
Other Nationalites,ASR,A,18 - 59 years,Female, 59 
Other Nationalites,ASR,A,18 - 59 years,Male, 31 
Other Nationalites,ASR,A,5 - 11 years,Female, 3 
Other Nationalites,ASR,A,5 - 11 years,Male, 9 
Other Nationalites,ASR,A,60+ years,Male, 1 
Other Nationalites,REF,A,0 - 4 years,Female, 4 
Other Nationalites,REF,A,0 - 4 years,Male, 3 
Other Nationalites,REF,A,12 - 17 years,Female, 12 
Other Nationalites,REF,A,12 - 17 years,Male, 10 
Other Nationalites,REF,A,18 - 59 years,Female, 49 
Other Nationalites,REF,A,18 - 59 years,Male, 53 
Other Nationalites,REF,A,5 - 11 years,Female, 20 
Other Nationalites,REF,A,5 - 11 years,Male, 32 
Other Nationalites,REF,A,60+ years,Female, 5 
Other Nationalites,REF,A,60+ years,Male, 2 
Other Nationalites,ASR,A,0 - 4 years,Female, 8 
Other Nationalites,ASR,A,0 - 4 years,Male, 19 
Other Nationalites,ASR,A,12 - 17 years,Female, 7 
Other Nationalites,ASR,A,12 - 17 years,Male, 4 
Other Nationalites,ASR,A,18 - 59 years,Female, 55 
Other Nationalites,ASR,A,18 - 59 years,Male, 93 
Other Nationalites,ASR,A,5 - 11 years,Female, 24 
Other Nationalites,ASR,A,5 - 11 years,Male, 27 
Other Nationalites,REF,A,12 - 17 years,Female, 1 
Other Nationalites,REF,A,12 - 17 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 2 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,REF,A,5 - 11 years,Male, 3 
Other Nationalites,ASR,A,0 - 4 years,Female, 6 
Other Nationalites,ASR,A,0 - 4 years,Male, 10 
Other Nationalites,ASR,A,12 - 17 years,Female, 2 
Other Nationalites,ASR,A,12 - 17 years,Male, 2 
Other Nationalites,ASR,A,18 - 59 years,Female, 437 
Other Nationalites,ASR,A,18 - 59 years,Male, 122 
Other Nationalites,ASR,A,5 - 11 years,Female, 1 
Other Nationalites,ASR,A,5 - 11 years,Male, 6 
Other Nationalites,ASR,A,60+ years,Female, 1 
Other Nationalites,ASR,H,18 - 59 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 2 
Other Nationalites,REF,A,18 - 59 years,Male, 4 
Other Nationalites,ASR,A,0 - 4 years,Female, 22 
Other Nationalites,ASR,A,0 - 4 years,Male, 27 
Other Nationalites,ASR,A,12 - 17 years,Female, 18 
Other Nationalites,ASR,A,12 - 17 years,Male, 27 
Other Nationalites,ASR,A,18 - 59 years,Female, 330 
Other Nationalites,ASR,A,18 - 59 years,Male, 129 
Other Nationalites,ASR,A,5 - 11 years,Female, 37 
Other Nationalites,ASR,A,5 - 11 years,Male, 39 
Other Nationalites,ASR,A,60+ years,Female, 4 
Other Nationalites,REF,A,0 - 4 years,Male, 2 
Other Nationalites,REF,A,12 - 17 years,Female, 4 
Other Nationalites,REF,A,12 - 17 years,Male, 3 
Other Nationalites,REF,A,18 - 59 years,Female, 18 
Other Nationalites,REF,A,18 - 59 years,Male, 15 
Other Nationalites,REF,A,5 - 11 years,Female, 3 
Other Nationalites,REF,A,5 - 11 years,Male, 3 
Other Nationalites,ASR,A,12 - 17 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 2 
Other Nationalites,ASR,A,18 - 59 years,Male, 1 
Other Nationalites,REF,A,0 - 4 years,Female, 1 
Other Nationalites,REF,A,5 - 11 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 9 
