Province,Syrians,PCODE
ADANA,200600,TR01
ADIYAMAN,29669,TR02
AFYONKARAHISAR,6054,TR03
AGRI,1148,TR04
AKSARAY,2689,TR68
AMASYA,617,TR05
ANKARA,98643,TR06
ANTALYA,913,TR07
ARDAHAN,87,TR75
ARTVIN,33,TR08
AYDIN,11278,TR09
BALIKESIR,2853,TR10
BARTIN,99,TR74
BATMAN,21205,TR72
BAYBURT,28,TR69
BILECIK,675,TR11
BINGOL,964,TR12
BITLIS,968,TR13
BOLU,2093,TR14
BURDUR,8794,TR15
BURSA,147368,TR16
CANAKKALE,5192,TR17
CANKIRI,529,TR18
CORUM,2809,TR19
DENIZLI,12014,TR20
DIYARBAKIR,32911,TR21
DUZCE,1428,TR81
EDIRNE,589,TR22
ELAZIG,11535,TR23
ERZINCAN,83,TR24
ERZURUM,1034,TR25
ESKISEHIR,4243,TR26
GAZIANTEP,384737,TR27
GIRESUN,124,TR28
GUMUSHANE,69,TR29
HAKKARI,8052,TR30
HATAY,445642,TR31
IGDIR,89,TR76
ISPARTA,7196,TR32
ISTANBUL,560959,TR34
IZMIR,137228,TR35
KAHRAMANMARAS,100319,TR46
KARABUK,769,TR78
KARAMAN,687,TR70
KARS,219,TR36
KASTAMONU,1390,TR37
KAYSERI,74449,TR38
KILIS,130746,TR79
KIRIKKALE,1298,TR71
KIRKLARELI,2436,TR39
KIRSEHIR,1275,TR40
KOCAELI,44009,TR41
KONYA,107382,TR42
KUTAHYA,784,TR43
MALATYA,26113,TR44
MANISA,12100,TR45
MARDIN,92986,TR47
MERSIN,207988,TR33
MUGLA,13413,TR48
MUS,1430,TR49
NEVSEHIR,8792,TR50
NIGDE,3553,TR51
ORDU,826,TR52
OSMANIYE,54586,TR80
RIZE,916,TR53
SAKARYA,13778,TR54
SAMSUN,5906,TR55
SANLIURFA,475954,TR63
SIIRT,4518,TR56
SINOP,96,TR57
SIRNAK,14929,TR73
SIVAS,3114,TR58
TEKIRDAG,10459,TR59
TOKAT,1108,TR60
TRABZON,3097,TR61
TUNCELI,46,TR62
USAK,2581,TR64
VAN,2894,TR65
YALOVA,4513,TR77
YOZGAT,4513,TR66
ZONGULDAK,474,TR67
