province,pcode,syrian population
ADANA,TUR001,227027
ADIYAMAN,TUR002,28128
AFYONKARAHISAR,TUR003,5207
AGRI,TUR004,963
AKSARAY,TUR068,2657
AMASYA,TUR005,608
ANKARA,TUR006,86211
ANTALYA,TUR007,1281
ARDAHAN,TUR075,142
ARTVIN,TUR008,43
AYDIN,TUR009,7255
BALIKESIR,TUR010,4138
BARTIN,TUR074,121
BATMAN,TUR072,21926
BAYBURT,TUR069,32
BILECIK,TUR011,567
BINGOL,TUR012,868
BITLIS,TUR013,791
BOLU,TUR014,1960
BURDUR,TUR015,8785
BURSA,TUR016,158892
CANAKKALE,TUR017,3907
CANKIRI,TUR018,521
CORUM,TUR019,2456
DENIZLI,TUR020,12483
DIYARBAKIR,TUR021,33147
DUZCE,TUR081,1541
EDIRNE,TUR022,954
ELAZIG,TUR023,12346
ERZINCAN,TUR024,113
ERZURUM,TUR025,1058
ESKISEHIR,TUR026,4096
GAZIANTEP,TUR027,407343
GIRESUN,TUR028,148
GUMUSHANE,TUR029,81
HAKKARI,TUR030,5573
HATAY,TUR031,438242
IGDIR,TUR076,92
ISPARTA,TUR032,7260
ISTANBUL,TUR034,560033
IZMIR,TUR035,139797
KAHRAMANMARAS,TUR046,81710
KARABUK,TUR078,757
KARAMAN,TUR070,702
KARS,TUR036,154
KASTAMONU,TUR037,1228
KAYSERI,TUR038,76744
KILIS,TUR079,124371
KIRIKKALE,TUR071,1408
KIRKLARELI,TUR039,2574
KIRSEHIR,TUR040,1191
KOCAELI,TUR041,52036
KONYA,TUR042,101552
KUTAHYA,TUR043,772
MALATYA,TUR044,28088
MANISA,TUR045,12924
MARDIN,TUR047,90842
MERSIN,TUR033,206861
MUGLA,TUR048,13696
MUS,TUR049,1349
NEVSEHIR,TUR050,9314
NIGDE,TUR051,4194
ORDU,TUR052,662
OSMANIYE,TUR080,48299
RIZE,TUR053,830
SAKARYA,TUR054,15008
SAMSUN,TUR055,5068
SANLIURFA,TUR063,467592
SIIRT,TUR056,3820
SINOP,TUR057,122
SIRNAK,TUR073,15180
SIVAS,TUR058,3804
TEKIRDAG,TUR059,11670
TOKAT,TUR060,983
TRABZON,TUR061,2942
TUNCELI,TUR062,51
USAK,TUR064,2248
VAN,TUR065,2059
YALOVA,TUR077,3242
YOZGAT,TUR066,3998
ZONGULDAK,TUR067,489
