region,province,pcode
Mediterranian,ADANA,TUR001
Southeast,ADIYAMAN,TUR002
Aegean,AFYONKARAHISAR,TUR003
Eastern Anatolia,AGRI,TUR004
Central Anatolia,AKSARAY,TUR068
Black Sea,AMASYA,TUR005
Central Anatolia,ANKARA,TUR006
Mediterranian,ANTALYA,TUR007
Eastern Anatolia,ARDAHAN,TUR075
Black Sea,ARTVIN,TUR008
Aegean,AYDIN,TUR009
Marmara,BALIKESIR,TUR010
Black Sea,BARTIN,TUR074
Southeast,BATMAN,TUR072
Black Sea,BAYBURT,TUR069
Marmara,BILECIK,TUR011
Eastern Anatolia,BINGOL,TUR012
Eastern Anatolia,BITLIS,TUR013
Black Sea,BOLU,TUR014
Mediterranian,BURDUR,TUR015
Marmara,BURSA,TUR016
Marmara,CANAKKALE,TUR017
Central Anatolia,CANKIRI,TUR018
Black Sea,CORUM,TUR019
Aegean,DENIZLI,TUR020
Southeast,DIYARBAKIR,TUR021
Black Sea,DUZCE,TUR081
Marmara,EDIRNE,TUR022
Eastern Anatolia,ELAZIG,TUR023
Eastern Anatolia,ERZINCAN,TUR024
Eastern Anatolia,ERZURUM,TUR025
Central Anatolia,ESKISEHIR,TUR026
Southeast,GAZIANTEP,TUR027
Black Sea,GIRESUN,TUR028
Black Sea,GUMUSHANE,TUR029
Eastern Anatolia,HAKKARI,TUR030
Mediterranian,HATAY,TUR031
Eastern Anatolia,IGDIR,TUR076
Mediterranian,ISPARTA,TUR032
Marmara,ISTANBUL,TUR034
Aegean,IZMIR,TUR035
Mediterranian,KAHRAMANMARAS,TUR046
Black Sea,KARABUK,TUR078
Central Anatolia,KARAMAN,TUR070
Eastern Anatolia,KARS,TUR036
Black Sea,KASTAMONU,TUR037
Central Anatolia,KAYSERI,TUR038
Southeast,KILIS,TUR079
Central Anatolia,KIRIKKALE,TUR071
Marmara,KIRKLARELI,TUR039
Central Anatolia,KIRSEHIR,TUR040
Marmara,KOCAELI,TUR041
Central Anatolia,KONYA,TUR042
Aegean,KUTAHYA,TUR043
Eastern Anatolia,MALATYA,TUR044
Aegean,MANISA,TUR045
Southeast,MARDIN,TUR047
Mediterranian,MERSIN,TUR033
Aegean,MUGLA,TUR048
Eastern Anatolia,MUS,TUR049
Central Anatolia,NEVSEHIR,TUR050
Central Anatolia,NIGDE,TUR051
Black Sea,ORDU,TUR052
Mediterranian,OSMANIYE,TUR080
Black Sea,RIZE,TUR053
Marmara,SAKARYA,TUR054
Black Sea,SAMSUN,TUR055
Southeast,SANLIURFA,TUR063
Southeast,SIIRT,TUR056
Black Sea,SINOP,TUR057
Southeast,SIRNAK,TUR073
Central Anatolia,SIVAS,TUR058
Marmara,TEKIRDAG,TUR059
Black Sea,TOKAT,TUR060
Black Sea,TRABZON,TUR061
Eastern Anatolia,TUNCELI,TUR062
Aegean,USAK,TUR064
Eastern Anatolia,VAN,TUR065
Marmara,YALOVA,TUR077
Central Anatolia,YOZGAT,TUR066
Black Sea,ZONGULDAK,TUR067
